dataset,n,d,contam,IForest_auc,IForest_ap,IForest_secs,PCA_auc,PCA_ap,PCA_secs,INNE_auc,INNE_ap,INNE_secs,LSCP_auc,LSCP_ap,LSCP_secs
breastw,683,9,0.34992679355783307,0.985987,0.967946,0.117534,0.955558,0.954803,0.002384,0.677721,0.418286,0.217140,nan,nan,nan
glass,214,7,0.04205607476635514,0.788618,0.116453,0.099985,0.653659,0.099212,0.001701,0.730623,0.102936,0.169412,0.786450,0.110116,0.798704
Hepatitis,80,19,0.1625,0.729047,0.281864,0.107943,0.752009,0.346908,0.002070,0.610792,0.200906,0.198747,0.781860,0.329332,0.299131
Ionosphere,351,32,0.358974358974359,0.850794,0.799522,0.117078,0.784127,0.731230,0.002603,0.887055,0.878515,0.197733,0.812522,0.720281,1.476699
Lymphography,148,18,0.04054054054054054,0.998826,0.976190,0.106580,0.996479,0.930556,0.001762,0.980634,0.681548,0.177086,0.994131,0.855556,0.542202
Pima,768,8,0.3489583333333333,0.663187,0.493991,0.146524,0.648410,0.478053,0.001974,0.681007,0.481614,0.228920,0.640313,0.452346,2.989838
Stamps,340,9,0.09117647058823529,0.888089,0.301973,0.104592,0.906880,0.348561,0.001778,0.853064,0.262242,0.181605,0.848314,0.298785,1.252831
vertebral,240,6,0.125,0.311905,0.087475,0.109843,0.377302,0.096538,0.001806,0.372222,0.096287,0.180225,0.333016,0.089959,0.831850
WBC,223,9,0.04484304932735426,0.995305,0.950000,0.107719,0.993427,0.924343,0.001900,0.942723,0.424223,0.171862,0.973709,0.486590,0.810214
WDBC,367,30,0.027247956403269755,0.990476,0.681147,0.105182,0.985994,0.556099,0.002792,0.978711,0.411716,0.190069,0.990196,0.674524,1.520260
wine,129,13,0.07751937984496124,0.795798,0.230270,0.108027,0.805882,0.250123,0.001633,0.769748,0.158830,0.164550,0.903361,0.320024,0.467974
WPBC,198,33,0.23737373737373738,0.481753,0.222119,0.105787,0.482457,0.227144,0.002601,0.494998,0.225467,0.171802,0.532056,0.236115,0.760105
annthyroid,7200,6,0.07416666666666667,0.836075,0.308006,0.218841,0.673469,0.191563,0.003688,0.699904,0.207724,0.778960,0.726674,0.181881,28.945311
cardio,1831,21,0.0961223375204806,0.936398,0.582785,0.124632,0.950038,0.610221,0.003161,0.909170,0.410334,0.284604,0.730191,0.253543,9.296380
Cardiotocography,2114,21,0.22043519394512773,0.669658,0.419553,0.134457,0.752345,0.474868,0.003739,0.680089,0.372780,0.331302,0.565945,0.309829,11.129048
fault,1941,27,0.3467284904688305,0.574811,0.411595,0.146838,nan,nan,nan,0.573708,0.436022,0.341127,0.570790,0.395463,10.287603
landsat,6435,36,0.20714840714840715,0.462484,0.187494,0.212808,0.364380,0.162961,0.017261,0.550708,0.223890,1.489132,0.558293,0.242665,47.969430
letter,1600,32,0.0625,0.650513,0.099219,0.175435,0.524933,0.077081,0.004488,0.694613,0.181253,0.311218,0.853887,0.369284,9.236602
PageBlocks,5393,10,0.09456703133691823,0.901350,0.482047,0.177652,0.904970,0.511571,0.003733,0.951394,0.696678,0.617119,0.808742,0.371716,25.390249
pendigits,6870,16,0.022707423580786028,0.956276,0.351942,0.251177,0.935711,0.222590,0.007139,0.890547,0.114416,0.810825,0.691805,0.063450,40.005841
satellite,6435,36,0.3163947163947164,0.687211,0.645922,0.232635,0.601156,0.605718,0.016529,0.752312,0.643917,1.819577,0.637248,0.457998,49.002906
satimage-2,5803,36,0.0122350508357746,0.994889,0.927816,0.192570,0.977180,0.872216,0.017435,0.998341,0.930436,1.071235,0.859327,0.156281,44.534653
thyroid,3772,6,0.024655355249204668,0.978728,0.533226,0.154007,0.955978,0.358539,0.002578,0.969908,0.493208,0.451033,0.785198,0.124175,15.175904
vowels,1456,12,0.034340659340659344,0.779986,0.177585,0.121750,0.609815,0.067050,0.002220,0.892148,0.326950,0.278002,0.919815,0.295872,6.001747
Waveform,3443,21,0.02904443799012489,0.719722,0.059166,0.163234,0.639518,0.044889,0.005084,0.755360,0.108279,0.454641,0.739019,0.083147,22.110351
Wilt,4819,5,0.05333056650757419,0.443820,0.043384,0.168452,0.434282,0.042732,0.002660,0.353097,0.037350,0.543424,0.607707,0.063828,18.175400
