dataset,n,d,contam,IForest_auc,IForest_ap,IForest_secs,PCA_auc,PCA_ap,PCA_secs,INNE_auc,INNE_ap,INNE_secs,LSCP_auc,LSCP_ap,LSCP_secs
yeast,1484,8,0.341644204851752,0.398648,0.302122,0.123584,0.395610,0.294773,0.001992,0.397417,0.299803,0.268658,0.436531,0.322633,6.124853
ALOI,49534,27,0.030443735615940565,0.540622,0.033764,0.545817,0.548454,0.037003,0.083318,0.557658,0.038249,10.304642,nan,nan,nan
celeba,202599,39,0.022443348683853327,0.691081,0.061142,3.539599,0.784035,0.111626,0.759059,0.757714,0.058721,45.951655,nan,nan,nan
cover,286048,10,0.009603283365029646,0.891527,0.064801,3.005842,0.933781,0.072354,0.146520,0.960570,0.142650,44.516683,nan,nan,nan
donors,619326,10,0.05927411411760527,0.775405,0.125062,9.700718,0.823789,0.167470,0.421825,0.746858,0.117018,109.541580,nan,nan,nan
fraud,284807,29,0.001727485630620034,0.949554,0.216640,3.926704,0.952589,0.148141,0.662673,0.955857,0.237047,58.453058,nan,nan,nan
http,567498,3,0.003896048972859816,0.999900,0.979676,6.771345,0.996030,0.476324,0.112571,0.999202,0.818899,94.376444,nan,nan,nan
magic.gamma,19020,10,0.3516298633017876,0.732540,0.649893,0.377145,0.666599,0.591639,0.008694,0.735756,0.665232,2.308749,nan,nan,nan
mammography,11183,6,0.023249575248144506,0.857988,0.201369,0.243727,0.893843,0.200534,0.004852,0.821227,0.142874,0.987003,0.734887,0.067736,44.368983
shuttle,49097,9,0.0715114976475141,0.996544,0.976460,0.708910,0.989870,0.915451,0.019952,0.988249,0.794391,8.549561,nan,nan,nan
skin,245057,3,0.20753947040892526,0.666391,0.251623,2.240414,0.417050,0.163758,0.064252,0.738547,0.302117,36.893138,nan,nan,nan
smtp,95156,3,0.0003152717642607928,0.910093,0.004312,1.338816,0.807711,0.358112,0.018180,0.927303,0.428623,17.496660,nan,nan,nan
backdoor,95329,193,0.02443118043827167,0.751569,0.051963,1.441540,nan,nan,nan,0.898623,0.564279,49.348466,nan,nan,nan
campaign,41188,62,0.11265417111780131,0.691593,0.253941,0.821801,nan,nan,nan,0.733857,0.258461,10.419481,nan,nan,nan
census,299285,500,0.062041198189017155,0.610329,0.072721,4.437684,nan,nan,nan,0.667969,0.089845,293.099981,nan,nan,nan
InternetAds,1966,1555,0.1871820956256358,0.720565,0.541872,0.152630,0.614660,0.295619,35.006592,0.617998,0.284473,5.811649,nan,nan,nan
mnist,7603,78,0.09206892016309351,0.827757,0.307901,0.277686,0.849878,0.382848,0.105090,0.853125,0.398157,3.054859,0.644601,0.186057,206.993901
musk,3062,166,0.03167864141084259,0.999458,0.984017,0.168255,0.999993,0.999789,0.172998,1.000000,1.000000,2.117002,0.901017,0.422510,84.028442
optdigits,5216,62,0.028757668711656442,0.744743,0.052664,0.206748,0.514891,0.026849,0.035006,0.590171,0.031653,2.409107,0.564333,0.038869,86.570170
SpamBase,4207,57,0.39909674352270025,0.629375,0.475057,0.149516,0.550262,0.409728,0.024204,0.535664,0.399638,1.228987,0.562810,0.428662,47.160621
speech,3686,400,0.016549104720564298,0.471747,0.017751,0.184637,0.469174,0.018426,1.839970,0.473345,0.016973,4.037215,nan,nan,nan
