name,label,mean_auc,mean_rank,secs
base,"Base (MAD-z, uniform probes)",0.7504074553621998,4.0,0.09968137934755879
langevin,+ Langevin posterior $q(u)$,0.7384876828749232,4.391304347826087,2.6138436828699447
spacing,+ Spacing component \eqref{eq:tau-spc},0.7449866291515758,4.391304347826087,2.8334681144333445
axis,+ Axis probes (split pathway),0.7516791804258546,4.130434782608695,2.8466080656090407
full,"+ Seed ensemble ($S{=}3$, full)",0.7559934125640304,3.869565217391304,8.629059984956731
