df,wand,iforest,ecod,witness_attr_auc
inf,1.0,0.9928111111111111,0.9794333333333333,0.9997821350762527
8,0.9984444444444445,0.9499444444444446,0.9048777777777778,0.998474945533769
4,0.9861666666666666,0.9122111111111111,0.8591444444444445,0.9952069716775599
3,0.9665222222222223,0.8955666666666667,0.8248333333333333,0.993681917211329
2,0.9377222222222222,0.8598111111111112,0.750911111111111,0.9836601307189543
1,0.8479444444444444,0.7872777777777777,0.6777333333333333,0.9135076252723312
