d,s,seed,auc,method,attr_auc,prec,queries,sec_per_expl
100,5,0,0.7844333333333333,witness,0.7651929824561405,0.34666666666666673,0.0,0.0006961644006272157
100,5,0,0.7844333333333333,gradient,0.7476491228070175,0.32000000000000006,0.0,9.865300186599295e-05
100,5,0,0.7844333333333333,shap,0.6276491228070176,0.2133333333333334,12003.666666666666,0.2708857947999301
100,5,0,0.7844333333333333,lime,0.5553684210526316,0.06666666666666667,800.0,0.021562636333207288
100,5,1,0.8890000000000001,witness,0.7432982456140351,0.3466666666666666,0.0,0.0002786212678377827
100,5,1,0.8890000000000001,gradient,0.7360000000000001,0.36,0.0,6.906179866443078e-05
100,5,1,0.8890000000000001,shap,0.528421052631579,0.11999999999999998,12003.666666666666,0.2747379414659614
100,5,1,0.8890000000000001,lime,0.5188771929824562,0.10666666666666666,800.0,0.023339394402379792
100,5,2,0.7014,witness,0.7987368421052632,0.2933333333333334,0.0,0.00025736966636031867
100,5,2,0.7014,gradient,0.7962105263157896,0.30666666666666675,0.0,8.116913183281819e-05
100,5,2,0.7014,shap,0.6458947368421052,0.2933333333333334,12003.666666666666,0.2661311503344526
100,5,2,0.7014,lime,0.4960000000000001,0.05333333333333334,800.0,0.02359557446713249
100,5,0,0.8993,witness,0.8576842105263157,0.41333333333333333,0.0,5.394906814520558e-05
100,5,0,0.8993,gradient,0.8543157894736843,0.38666666666666677,0.0,0.00023882980070387324
100,5,0,0.8993,shap,0.7027368421052631,0.3866666666666667,12003.666666666666,0.26831610906713954
100,5,0,0.8993,lime,0.5891929824561404,0.13333333333333333,800.0,0.027136684601039938
100,5,1,0.9536,witness,0.8014035087719298,0.4799999999999999,0.0,0.0001964409331170221
100,5,1,0.9536,gradient,0.7964912280701755,0.4799999999999999,0.0,0.00034055353219931327
100,5,1,0.9536,shap,0.6671578947368421,0.3333333333333333,12003.666666666666,0.27565184079964333
100,5,1,0.9536,lime,0.5148070175438597,0.13333333333333336,800.0,0.022940241933489838
